,Electrical_SBrkr,WoodDeckSF,RemodAge,LotConfig_CulDSac,LotArea,Foundation_PConc,BsmtExposure_Gd,OpenPorchSF,OverallQual,Fence_GdWo,Foundation_BrkTil,Electrical_FuseF,LotFrontage_median,BedroomAbvGr,FullBath,firstFlrSF,HouseStyle_2Story,LotConfig_Inside,hasGarage,BsmtExposure_No,BldgType_Twnhs,HalfBath,BsmtFullBath,CentralAir_Y,Heating_Grav,Fence_MnPrv,HouseStyle_1.5Fin,BldgType_2fmCon,Fireplaces,GarageArea,BsmtExposure_Av
26,1.0,108.0,0,0.0,3010.0,1.0,0.0,0.0,7,0.0,0.0,0.0,43.0,2.0,2,1248.0,0.0,1.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,438.0,1.0
28,1.0,66.0,56,0.0,10634.0,1.0,0.0,0.0,5,1.0,0.0,0.0,79.0,3.0,1,1319.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0
29,1.0,273.6,11,0.0,8471.0,0.0,0.0,12.0,6,1.0,0.0,0.0,88.0,3.0,1,1212.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,492.0,1.0
31,1.0,182.0,34,0.0,9525.0,0.0,0.0,0.0,6,0.0,0.0,0.0,75.0,3.6,2,1216.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,325.0,0.0
32,1.0,120.0,36,0.0,1596.0,0.0,1.0,101.0,4,1.0,0.0,0.0,29.599999999999998,2.0,1,526.0,0.0,1.0,True,0.0,1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0
33,1.0,0.0,3,0.0,3675.0,1.0,1.0,28.0,6,0.0,0.0,0.0,35.0,2.0,1,1072.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0
34,1.0,104.0,37,0.0,7244.0,0.0,0.0,0.0,5,0.0,0.0,0.0,54.0,2.0,1,768.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,624.0,1.0
36,1.0,0.0,12,1.0,12137.0,1.0,0.0,34.0,7,0.0,0.0,0.0,48.0,3.0,2,1661.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0
37,1.0,0.0,13,0.0,8750.0,1.0,0.0,112.0,7,0.0,0.0,0.0,70.0,2.0,2,909.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,512.0,0.0
38,1.0,273.6,24,0.0,9503.0,0.0,0.0,28.0,5,1.0,0.0,0.0,70.0,2.0,1,1344.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,484.0,0.0
39,1.0,0.0,53,0.0,7390.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.0,1,1098.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0
40,1.0,140.0,5,0.0,4435.0,1.0,0.0,0.0,6,0.0,0.0,0.0,70.0,1.0,1,848.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,420.0,1.0
41,1.0,0.0,48,0.0,10382.0,0.0,1.0,0.0,6,0.0,0.0,0.0,75.0,2.0,1,1095.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,264.0,0.0
42,1.0,216.0,15,0.0,13923.6,1.0,0.0,112.0,6,0.0,0.0,0.0,70.0,3.0,2,1079.0,1.0,0.0,True,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,1.6,501.0,1.0
43,1.0,255.0,2,0.0,10084.0,1.0,0.0,57.0,8,0.0,0.0,0.0,75.0,3.0,2,1692.3000000000002,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,636.0,1.0
44,1.0,168.0,7,0.0,11767.0,0.0,0.0,24.0,4,1.0,0.0,0.0,70.0,2.0,1,796.0,1.0,1.0,True,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0
45,1.0,0.0,5,0.0,6000.0,1.0,0.0,0.0,6,0.0,0.0,0.0,50.0,2.0,1,904.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0
46,1.0,0.0,34,0.0,1680.0,0.0,0.0,0.0,6,0.0,0.0,0.0,29.599999999999998,2.0,1,483.0,1.0,1.0,True,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,288.0,0.0
47,0.0,0.0,57,0.0,6270.0,0.0,0.0,0.0,5,0.0,0.0,0.0,82.0,3.6,2,1001.0,1.0,1.0,True,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,728.05,0.0
49,1.0,192.0,1,0.0,13923.6,1.0,0.0,62.0,7,0.0,0.0,0.0,90.4,3.0,2,1071.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
50,0.0,0.0,58,0.0,7920.0,0.0,0.0,112.0,6,0.0,0.0,0.0,70.0,3.0,1,1035.0,0.0,1.0,False,1.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
51,1.0,0.0,36,0.0,10012.0,0.0,0.0,0.0,4,0.0,0.0,0.0,90.0,3.0,2,1181.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,588.0,1.0
52,1.0,0.0,56,0.0,8600.0,0.0,0.0,0.0,6,0.0,1.0,0.0,50.0,3.0,2,780.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,198.0,0.0
53,1.0,0.0,37,0.0,1680.0,0.0,0.0,0.0,6,0.0,0.0,0.0,29.599999999999998,2.0,1,483.0,1.0,1.0,True,1.0,1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0
54,1.0,0.0,56,0.0,7000.0,0.0,0.0,0.0,6,0.0,1.0,0.0,50.0,2.0,2,865.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,398.0,0.0
55,1.0,121.0,53,0.0,13923.6,1.0,0.0,0.0,5,0.0,0.0,0.0,59.0,3.0,1,872.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,300.0,0.0
56,1.0,0.0,54,0.0,10434.0,0.0,0.0,0.0,4,0.0,0.0,0.0,60.0,2.0,1,1005.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,672.0,0.0
57,0.0,0.0,57,0.0,6240.0,0.0,0.0,0.0,6,0.0,1.0,0.0,52.0,3.0,1,959.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,560.0,0.0
58,1.0,160.0,40,0.0,11777.0,0.0,0.0,68.0,5,0.0,0.0,0.0,90.4,3.0,1,1320.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.6,564.0,1.0
59,1.0,120.0,8,1.0,9382.0,1.0,0.0,25.0,7,0.0,0.0,0.0,90.4,3.0,2,1479.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,577.0,0.0
60,1.0,0.0,21,0.0,9000.0,1.0,0.0,0.0,7,0.0,0.0,0.0,50.0,3.0,1,832.0,1.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0
61,1.0,117.0,2,0.0,7207.0,0.0,1.0,0.0,5,0.0,0.0,0.0,50.0,2.0,1,858.0,0.0,1.0,False,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,273.6,14,1.0,13923.6,1.0,0.0,86.0,8,0.0,0.0,0.0,56.0,3.6,2,1692.3000000000002,0.0,0.0,True,0.0,0.0,1,1,1.0,0.0,0.0,1.0,0.0,1.0,666.0,1.0
63,1.0,273.6,16,0.0,11414.0,0.0,0.0,112.0,7,0.0,1.0,0.0,60.0,3.0,1,1136.0,1.0,0.0,True,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,0.0
64,1.0,0.0,1,0.0,9000.0,1.0,0.0,30.0,8,0.0,0.0,0.0,75.0,3.0,2,786.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0
65,1.0,0.0,48,0.0,7910.0,0.0,0.0,0.0,5,1.0,0.0,0.0,70.0,3.6,2,1507.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0
66,1.0,0.0,9,0.0,12354.0,0.0,0.0,46.0,6,0.0,1.0,0.0,67.0,3.0,1,684.0,0.0,0.0,True,0.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,528.0,0.0
67,1.0,0.0,35,0.0,8125.0,0.0,0.0,0.0,4,0.0,0.0,0.0,70.0,3.0,1,858.0,0.0,0.0,False,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,120.0,13,0.0,8530.0,1.0,0.0,72.0,7,0.0,0.0,0.0,70.0,3.0,2,804.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0
69,1.0,0.0,3,0.0,5436.0,0.0,0.0,96.0,4,0.0,1.0,0.0,40.0,3.0,1,796.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,240.0,0.0
70,1.0,35.0,2,0.0,10500.0,0.0,0.0,0.0,5,1.0,0.0,0.0,70.0,3.0,1,576.0,0.0,0.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,288.0,1.0
71,1.0,192.0,32,0.0,11900.0,0.0,0.0,0.0,7,0.0,0.0,0.0,85.0,3.0,2,1411.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,544.0,0.0
74,1.0,0.0,29,0.0,12342.0,0.0,0.0,0.0,5,1.0,0.0,0.0,70.0,3.0,1,1422.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,286.0,0.0
76,1.0,0.0,38,0.0,9600.0,0.0,0.0,0.0,6,0.0,0.0,0.0,80.0,3.0,1,1520.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.6,364.0,1.0
77,1.0,0.0,32,0.0,13923.6,0.0,0.0,72.0,8,0.0,0.0,0.0,70.0,2.0,2,1692.3000000000002,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,665.0,1.0
78,1.0,273.6,42,1.0,13923.6,1.0,1.0,0.0,5,0.0,0.0,0.0,70.0,3.0,2,1160.0,1.0,0.0,True,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0
79,1.0,0.0,12,0.0,9600.0,0.0,0.0,28.0,6,0.0,0.0,0.0,80.0,3.0,1,1661.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,1.0,0.0,0.0,1.0,377.0,1.0
80,1.0,110.0,56,0.0,9600.0,0.0,0.0,0.0,6,0.0,0.0,0.0,80.0,3.0,1,1644.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.6,418.0,0.0
82,1.0,0.0,44,0.0,6600.0,0.0,0.0,112.0,5,0.0,0.0,0.0,60.0,3.6,2,1378.0,1.0,0.0,True,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0
83,1.0,182.0,12,0.0,9554.0,1.0,0.0,81.0,8,0.0,0.0,0.0,80.0,3.0,2,1065.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,471.0,0.0
84,1.0,0.0,51,0.0,8593.0,0.0,0.0,0.0,4,0.0,0.0,0.0,77.0,3.0,1,907.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0
85,1.0,0.0,10,0.0,5868.0,0.0,0.0,0.0,5,0.0,0.0,0.0,74.0,2.0,1,936.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0
86,1.0,96.0,39,0.0,6960.0,0.0,0.0,0.0,4,0.0,0.0,0.0,60.0,3.0,1,864.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0
87,1.0,0.0,42,0.0,7800.0,0.0,0.0,0.0,5,0.0,0.0,0.0,66.0,2.0,1,912.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0
88,1.0,0.0,43,0.0,13101.0,0.0,0.0,0.0,5,0.0,0.0,0.0,74.0,3.6,2,1692.3000000000002,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,576.0,0.0
89,1.0,70.0,6,0.0,10440.0,1.0,0.0,78.0,5,0.0,0.0,0.0,60.0,3.0,2,958.0,1.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,686.0,0.0
90,1.0,219.0,6,0.0,9100.0,1.0,0.0,36.0,7,0.0,0.0,0.0,70.0,3.0,2,1525.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,541.0,1.0
91,1.0,0.0,51,0.0,11475.0,0.0,0.0,25.0,5,0.0,0.0,0.0,85.0,3.6,2,1692.3000000000002,0.0,0.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,728.05,0.0
94,1.0,28.0,31,0.0,7892.0,0.0,0.0,0.0,6,0.0,0.0,0.0,55.0,2.0,2,918.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,264.0,0.0
97,1.0,0.0,51,0.0,8877.0,0.0,0.0,0.0,4,0.0,0.0,0.0,67.0,2.0,1,816.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,288.0,0.0
98,0.0,0.0,57,0.0,10120.0,0.0,0.0,0.0,7,0.0,0.0,1.0,60.0,3.6,1,964.0,0.0,1.0,True,1.0,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,308.0,0.0
99,1.0,0.0,14,0.0,8012.0,1.0,0.0,69.0,6,0.0,0.0,0.0,50.0,2.0,2,1617.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,533.0,0.0
100,1.0,141.0,32,0.0,2665.0,1.0,0.0,24.0,5,0.0,0.0,0.0,70.0,3.0,1,616.0,1.0,1.0,True,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,336.0,0.0
101,1.0,0.0,37,0.0,9600.0,0.0,0.0,0.0,7,0.0,0.0,0.0,80.0,3.0,1,1164.0,0.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0
102,1.0,0.0,57,0.0,7350.0,0.0,0.0,0.0,5,0.0,0.0,0.0,60.0,2.0,1,952.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,728.05,0.0
103,1.0,273.6,16,0.0,9636.0,1.0,0.0,40.0,6,0.0,0.0,0.0,70.0,3.0,2,808.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,389.0,0.0
104,1.0,0.0,12,1.0,13923.6,1.0,0.0,81.0,7,0.0,0.0,0.0,58.0,3.6,2,1195.0,1.0,0.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0
105,1.0,0.0,0,0.0,8125.0,1.0,0.0,50.0,7,0.0,0.0,0.0,65.0,3.0,2,778.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0
106,1.0,0.0,58,0.0,13923.6,0.0,0.0,0.0,5,0.0,0.0,0.0,90.4,3.6,2,720.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,312.0,0.0
107,0.0,0.0,51,0.0,9571.0,0.0,0.0,0.0,5,0.0,0.0,0.0,68.0,3.0,1,1276.0,0.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0
108,1.0,0.0,60,0.0,10625.0,0.0,0.0,0.0,5,0.0,1.0,0.0,85.0,2.0,1,835.0,0.0,0.0,True,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0
109,1.0,0.0,8,0.0,5687.0,1.0,0.0,112.0,5,0.0,0.0,0.0,55.0,3.6,2,936.0,1.0,1.0,False,1.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,1.0,144.0,10,0.0,9303.0,1.0,0.0,112.0,6,0.0,0.0,0.0,70.0,3.0,2,888.0,1.0,0.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0
111,1.0,0.0,13,0.0,13923.6,0.0,0.0,54.0,7,1.0,0.0,0.0,90.4,1.0,2,1692.3000000000002,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.6,484.0,0.0
112,1.0,0.0,24,1.0,11120.0,1.0,0.0,0.0,6,0.0,0.0,0.0,70.0,3.0,2,1232.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0
113,1.0,120.0,18,0.0,9069.0,1.0,0.0,0.0,6,0.0,0.0,0.0,73.0,2.0,1,996.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,564.0,1.0
114,1.0,0.0,36,0.0,9873.0,0.0,0.0,112.0,4,0.0,0.0,0.0,60.0,3.0,1,960.0,0.0,1.0,True,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,576.0,1.0
115,0.0,142.0,36,0.0,10800.0,0.0,0.0,0.0,5,0.0,0.0,0.0,60.0,3.0,2,1692.3000000000002,0.0,0.0,True,1.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,520.0,0.0
116,1.0,175.0,39,0.0,7838.0,0.0,0.0,112.0,5,0.0,0.0,0.0,68.0,3.0,1,900.0,0.0,1.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,288.0,1.0
117,1.0,171.0,4,0.0,7930.0,0.0,0.0,48.0,6,0.0,0.0,0.0,61.0,3.0,1,1026.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0
118,1.0,252.0,3,0.0,7024.0,1.0,0.0,64.0,4,0.0,0.0,0.0,60.0,2.0,1,1132.0,0.0,1.0,True,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0
119,1.0,140.0,4,0.0,9375.0,1.0,0.0,45.0,8,0.0,0.0,0.0,75.0,3.0,2,1053.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,648.0,0.0
120,1.0,0.0,0,0.0,10237.0,1.0,0.0,72.0,6,0.0,0.0,0.0,65.0,3.0,2,783.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,393.0,0.0
121,1.0,0.0,2,0.0,3363.0,1.0,0.0,40.0,7,0.0,0.0,0.0,32.0,3.0,2,976.0,1.0,1.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0
122,1.0,0.0,43,0.0,9100.0,0.0,0.0,0.0,5,0.0,0.0,0.0,70.0,3.6,2,1692.3000000000002,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0
123,1.0,0.0,37,1.0,13923.6,0.0,0.0,0.0,5,0.0,0.0,0.0,36.0,3.0,1,864.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,338.0,1.0
124,1.0,240.0,9,0.0,13923.6,0.0,0.0,0.0,6,0.0,0.0,0.0,70.0,3.0,2,1602.0,0.0,0.0,True,1.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,529.0,0.0
125,1.0,0.0,8,0.0,4500.0,1.0,0.0,112.0,6,0.0,0.0,0.0,32.0,2.0,2,1337.0,0.0,0.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0
126,0.0,0.0,56,0.0,9000.0,0.0,0.0,0.0,2,0.0,0.0,0.0,50.0,1.0,0,480.0,0.0,1.0,True,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,308.0,1.0
127,1.0,0.0,47,0.0,13923.6,0.0,1.0,0.0,6,1.0,0.0,0.0,90.4,3.0,1,1382.0,0.0,0.0,True,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,728.05,0.0
129,1.0,229.0,56,0.0,10800.0,0.0,0.0,0.0,5,0.0,1.0,0.0,60.0,2.0,1,1130.0,0.0,1.0,True,1.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,720.0,0.0
130,1.0,100.0,1,0.0,10420.0,1.0,0.0,22.0,6,0.0,0.0,0.0,83.0,3.0,2,1212.0,0.0,0.0,True,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0
131,1.0,0.0,11,0.0,10364.0,1.0,0.0,40.0,6,0.0,0.0,0.0,70.0,3.0,2,806.0,1.0,1.0,True,1.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,373.0,0.0
