LotFrontage,LotArea,Alley,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,isNew,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,firstFlrSF,secondFlrSF,GrLivArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,hasGarage,GarageArea,GarageCond,WoodDeckSF,Nr.Ring,OpenPorchSF,PoolQC,Fence,MiscFeature,MoSold,YrSold,SalePrice
70.0,11200,,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,False,1965,Hip,CompShg,TA,TA,CBlock,1040,GasA,Ex,Y,SBrkr,1040,0,1040,TA,TA,No,1,1,0,3,TA,5,0,,1,True,384,TA,0,2,0,,,,2,2008,129500
85.0,11924,,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2005,True,2006,Hip,CompShg,Ex,TA,PConc,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,Ex,TA,No,1,3,0,4,Ex,11,2,Gd,3,True,736,TA,147,2,21,,,,7,2006,345000
,12968,,Inside,Gtl,Sawyer,1Fam,1Story,5,6,1962,False,1962,Hip,CompShg,TA,TA,CBlock,912,GasA,TA,Y,SBrkr,912,0,912,TA,TA,No,1,1,0,2,TA,4,0,,1,True,352,TA,140,2,0,,,,9,2008,144000
91.0,10652,,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,True,2007,Gable,CompShg,Gd,TA,PConc,1494,GasA,Ex,Y,SBrkr,1494,0,1494,Gd,TA,Av,0,2,0,3,Gd,7,1,Gd,3,True,840,TA,160,2,33,,,,8,2007,279500
,10920,,Corner,Gtl,NAmes,1Fam,1Story,6,5,1960,False,1960,Hip,CompShg,TA,TA,CBlock,1253,GasA,TA,Y,SBrkr,1253,0,1253,TA,TA,No,1,1,1,2,TA,5,1,Fa,1,True,352,TA,0,2,213,,GdWo,,5,2008,157000
51.0,6120,,Corner,Gtl,BrkSide,1Fam,1.5Unf,7,8,1929,False,2001,Gable,CompShg,TA,TA,BrkTil,832,GasA,Ex,Y,FuseA,854,0,854,TA,TA,No,0,1,0,2,TA,5,0,,2,True,576,TA,48,2,112,,GdPrv,,7,2007,132000
,11241,,CulDSac,Gtl,NAmes,1Fam,1Story,6,7,1970,False,1970,Gable,CompShg,TA,TA,CBlock,1004,GasA,Ex,Y,SBrkr,1004,0,1004,TA,TA,No,1,1,0,2,TA,5,1,TA,2,True,480,TA,0,2,0,,,Shed,3,2010,149000
72.0,10791,,Inside,Gtl,Sawyer,Duplex,1Story,4,5,1967,False,1967,Gable,CompShg,TA,TA,Slab,0,GasA,TA,Y,SBrkr,1296,0,1296,,,,0,2,0,2,TA,6,0,,2,True,516,TA,0,2,0,,,Shed,10,2006,90000
66.0,13695,,Inside,Gtl,SawyerW,1Fam,1Story,5,5,2004,True,2004,Gable,CompShg,TA,TA,PConc,1114,GasA,Ex,Y,SBrkr,1114,0,1114,TA,TA,No,1,1,1,3,Gd,6,0,,2,True,576,TA,0,2,102,,,,6,2008,159000
70.0,7560,,Inside,Gtl,NAmes,1Fam,1Story,5,6,1958,False,1965,Hip,CompShg,TA,TA,CBlock,1029,GasA,TA,Y,SBrkr,1339,0,1339,TA,TA,No,0,1,0,3,TA,6,0,,1,True,294,TA,0,2,0,,MnPrv,,5,2009,139000
101.0,14215,,Corner,Gtl,NridgHt,1Fam,2Story,8,5,2005,True,2006,Gable,CompShg,Gd,TA,PConc,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,Ex,TA,Av,0,3,1,4,Gd,9,1,Gd,3,True,853,TA,240,2,154,,,,11,2006,325300
57.0,7449,Grvl,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7,7,1930,False,1950,Gable,CompShg,TA,TA,PConc,637,GasA,Ex,Y,FuseF,1108,0,1108,TA,TA,No,0,1,0,3,Gd,6,1,Gd,1,True,280,TA,0,2,0,,GdPrv,,6,2007,139400
75.0,9742,,Inside,Gtl,CollgCr,1Fam,1Story,8,5,2002,True,2002,Hip,CompShg,Gd,TA,PConc,1777,GasA,Ex,Y,SBrkr,1795,0,1795,Gd,TA,No,0,2,0,3,Gd,7,1,Gd,2,True,534,TA,171,2,159,,,,9,2008,230000
44.0,4224,,Inside,Gtl,MeadowV,TwnhsE,1Story,5,7,1976,False,1976,Gable,CompShg,TA,TA,PConc,1040,GasA,TA,Y,SBrkr,1060,0,1060,Gd,TA,No,1,1,0,3,TA,6,1,TA,2,True,572,TA,100,2,110,,,,6,2007,129900
,8246,,Inside,Gtl,Sawyer,1Fam,1Story,5,8,1968,False,2001,Gable,CompShg,TA,Gd,CBlock,1060,GasA,Ex,Y,SBrkr,1060,0,1060,TA,TA,Mn,1,1,0,3,Gd,6,1,TA,1,True,270,TA,406,2,90,,MnPrv,,5,2010,154000
110.0,14230,,Corner,Gtl,NridgHt,1Fam,1Story,8,5,2007,True,2007,Gable,CompShg,Gd,TA,PConc,1566,GasA,Ex,Y,SBrkr,1600,0,1600,Gd,TA,No,0,2,0,3,Gd,7,1,Gd,3,True,890,TA,0,2,56,,,,7,2009,256300
60.0,7200,,Corner,Gtl,NAmes,1Fam,1Story,5,7,1951,False,2000,Gable,CompShg,TA,TA,CBlock,900,GasA,TA,Y,SBrkr,900,0,900,TA,TA,Mn,0,1,0,3,Gd,5,0,,2,True,576,TA,222,2,32,,,,5,2010,134800
98.0,11478,,Inside,Gtl,NridgHt,1Fam,1Story,8,5,2007,True,2008,Gable,CompShg,Gd,TA,PConc,1704,GasA,Ex,Y,SBrkr,1704,0,1704,Ex,TA,No,1,2,0,3,Gd,7,1,Gd,3,True,772,TA,0,2,50,,,,5,2010,306000
47.0,16321,,CulDSac,Gtl,NAmes,1Fam,1Story,5,6,1957,False,1997,Gable,CompShg,TA,TA,CBlock,1484,GasA,TA,Y,SBrkr,1600,0,1600,TA,TA,Gd,1,1,0,2,TA,6,2,Gd,1,True,319,TA,288,2,258,,,,12,2006,207500
60.0,6324,,Inside,Gtl,BrkSide,1Fam,1Story,4,6,1927,False,1950,Gable,CompShg,TA,TA,BrkTil,520,GasA,Fa,N,SBrkr,520,0,520,TA,TA,No,0,1,0,1,Fa,4,0,,1,True,240,TA,49,2,0,,,,5,2008,68500
50.0,8500,Pave,Inside,Gtl,IDOTRR,1Fam,2Story,4,4,1920,False,1950,Gambrel,CompShg,TA,Fa,BrkTil,649,GasA,TA,N,SBrkr,649,668,1317,TA,TA,No,0,1,0,3,TA,6,0,,1,True,250,Fa,0,2,54,,MnPrv,,7,2008,40000
,8544,,CulDSac,Gtl,Sawyer,1Fam,1Story,5,6,1966,False,2006,Gable,CompShg,TA,TA,CBlock,1228,GasA,Gd,Y,SBrkr,1228,0,1228,TA,TA,No,0,1,1,3,Gd,6,0,,1,True,271,TA,0,2,65,,MnPrv,,6,2008,149350
85.0,11049,,Corner,Gtl,CollgCr,1Fam,1Story,8,5,2007,True,2007,Gable,CompShg,Gd,TA,PConc,1234,GasA,Ex,Y,SBrkr,1234,0,1234,Ex,TA,Av,0,2,0,3,Gd,7,0,,2,True,484,TA,0,2,30,,,,1,2008,179900
70.0,10552,,Inside,Gtl,NAmes,1Fam,1Story,5,5,1959,False,1959,Hip,CompShg,TA,TA,CBlock,1398,GasA,Gd,Y,SBrkr,1700,0,1700,TA,TA,No,0,1,1,4,Gd,6,1,Gd,2,True,447,TA,0,2,38,,,,4,2010,165500
60.0,7313,,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,True,2005,Hip,CompShg,Ex,TA,PConc,1561,GasA,Ex,Y,SBrkr,1561,0,1561,Ex,TA,No,1,2,0,2,Ex,6,1,Gd,2,True,556,TA,203,2,47,,,,8,2007,277500
108.0,13418,,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,True,2005,Gable,CompShg,Gd,TA,PConc,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,Ex,TA,Av,0,3,1,4,Gd,9,1,Gd,3,True,691,TA,113,2,32,,,,9,2006,309000
112.0,10859,,Corner,Gtl,CollgCr,1Fam,1Story,5,5,1994,False,1995,Gable,CompShg,TA,TA,PConc,1097,GasA,Ex,Y,SBrkr,1097,0,1097,Gd,TA,No,0,1,1,3,TA,6,0,,2,True,672,TA,392,2,64,,,,6,2009,145000
74.0,8532,,Inside,Gtl,NAmes,1Fam,1Story,5,6,1954,False,1990,Hip,CompShg,TA,TA,CBlock,1297,GasA,Gd,Y,SBrkr,1297,0,1297,TA,TA,No,0,1,0,3,TA,5,1,TA,2,True,498,TA,0,2,0,,,,10,2009,153000
68.0,7922,,Inside,Gtl,NAmes,1Fam,1Story,5,7,1953,False,2007,Gable,CompShg,TA,Gd,CBlock,1057,GasA,TA,Y,SBrkr,1057,0,1057,TA,TA,No,1,1,0,3,Gd,5,0,,1,True,246,TA,0,2,52,,,,1,2010,109000
65.0,6040,,Inside,Gtl,Edwards,Duplex,1Story,4,5,1955,False,1955,Gable,CompShg,TA,TA,PConc,0,GasA,TA,N,FuseP,1152,0,1152,,,,0,2,0,2,Fa,6,0,,0,False,0,,0,2,0,,,,6,2008,82000
84.0,8658,,Inside,Gtl,NAmes,1Fam,1Story,6,5,1965,False,1965,Gable,CompShg,TA,TA,CBlock,1088,GasA,Ex,Y,SBrkr,1324,0,1324,TA,TA,No,0,2,0,3,TA,6,1,TA,2,True,440,TA,0,2,138,,GdWo,,12,2006,160000
115.0,16905,,Inside,Gtl,Timber,1Fam,1Story,5,6,1959,False,1959,Gable,CompShg,TA,Gd,CBlock,1350,GasA,Gd,Y,SBrkr,1328,0,1328,TA,TA,Gd,0,1,1,2,TA,5,2,Gd,1,True,308,TA,0,2,104,,,,7,2007,170000
,9180,,CulDSac,Gtl,SawyerW,1Fam,SFoyer,5,7,1983,False,1983,Gable,CompShg,TA,TA,CBlock,840,GasA,Gd,Y,SBrkr,884,0,884,Gd,TA,Av,1,1,0,2,Gd,5,0,,2,True,504,Gd,240,2,0,,MnPrv,,12,2007,144000
,9200,,CulDSac,Gtl,CollgCr,1Fam,1Story,5,6,1975,False,1980,Hip,CompShg,TA,TA,CBlock,938,GasA,TA,Y,SBrkr,938,0,938,Gd,TA,Av,1,1,0,3,TA,5,0,,1,True,308,TA,145,2,0,,MnPrv,,7,2008,130250
70.0,7945,,Inside,Gtl,NAmes,1Fam,1Story,5,6,1959,False,1959,Gable,CompShg,TA,TA,CBlock,1150,GasA,Ex,Y,FuseA,1150,0,1150,TA,TA,No,1,1,0,3,TA,6,0,,1,True,300,TA,0,2,0,,,,5,2006,141000
61.0,7658,,Inside,Gtl,NridgHt,TwnhsE,1Story,9,5,2005,True,2005,Hip,CompShg,Ex,TA,PConc,1752,GasA,Ex,Y,SBrkr,1752,0,1752,Ex,TA,No,1,2,0,2,Ex,6,1,Gd,2,True,576,TA,196,2,82,,,,2,2010,319900
48.0,12822,,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,7,5,2003,True,2003,Gable,CompShg,Gd,TA,PConc,1434,GasA,Ex,Y,SBrkr,1518,631,2149,Ex,TA,No,1,1,1,1,Gd,6,1,Ex,2,True,670,TA,168,2,43,,,,8,2009,239686
84.0,11096,,Inside,Gtl,Somerst,1Fam,1Story,8,5,2006,True,2006,Gable,CompShg,Gd,TA,PConc,1656,GasA,Ex,Y,SBrkr,1656,0,1656,Gd,TA,Av,0,2,0,3,Gd,7,0,,3,True,826,TA,0,2,146,,,,7,2007,249700
33.0,4456,,Inside,Gtl,OldTown,2fmCon,2Story,4,5,1920,False,2008,Gable,CompShg,TA,TA,BrkTil,736,GasA,Gd,Y,SBrkr,736,716,1452,TA,TA,No,0,2,0,2,TA,8,0,,0,False,0,,0,2,0,,,,6,2009,113000
66.0,7742,,Inside,Gtl,Sawyer,1Fam,1Story,5,7,1966,False,1966,Gable,CompShg,TA,TA,CBlock,955,GasA,Ex,Y,SBrkr,955,0,955,TA,TA,No,1,1,0,3,TA,6,0,,1,True,386,TA,0,2,0,,MnPrv,,1,2007,127000
,13869,,Corner,Gtl,Gilbert,1Fam,2Story,6,6,1997,False,1997,Gable,CompShg,TA,TA,PConc,794,GasA,Gd,Y,SBrkr,794,676,1470,Gd,TA,Av,0,2,0,3,TA,6,0,,2,True,388,TA,0,2,75,,,,7,2007,177000
52.0,6240,,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,6,1934,False,1950,Gable,CompShg,TA,TA,PConc,816,GasA,TA,Y,SBrkr,816,0,1176,TA,TA,No,0,1,0,3,TA,6,1,Gd,2,True,528,TA,112,2,0,,MnPrv,Shed,9,2006,114500
110.0,8472,,Corner,Mod,IDOTRR,Duplex,1Story,5,5,1963,False,1963,Gable,CompShg,Fa,TA,CBlock,816,GasA,TA,N,SBrkr,816,0,816,Gd,TA,Gd,1,1,0,2,TA,5,0,,2,True,516,TA,106,2,0,,,,5,2010,110000
68.0,50271,,Inside,Gtl,Veenker,1Fam,1Story,9,5,1981,False,1987,Gable,WdShngl,Gd,TA,CBlock,1842,GasA,Gd,Y,SBrkr,1842,0,1842,Ex,TA,Gd,2,0,1,0,Gd,5,1,Gd,3,True,894,TA,857,2,72,,,,11,2006,385000
60.0,7134,,Inside,Mod,NAmes,1Fam,SLvl,5,5,1955,False,1955,Gable,CompShg,TA,TA,CBlock,384,GasA,TA,Y,SBrkr,1360,0,1360,TA,TA,No,0,1,0,3,TA,6,1,TA,2,True,572,TA,0,2,50,,MnPrv,,2,2007,130000
100.0,10175,,Inside,Gtl,NAmes,1Fam,1Story,6,5,1964,False,1964,Gable,CompShg,TA,TA,CBlock,1425,GasA,Gd,Y,SBrkr,1425,0,1425,TA,TA,No,0,2,0,3,TA,7,1,Gd,2,True,576,TA,0,2,0,,,,7,2008,180500
24.0,2645,Pave,Inside,Gtl,Somerst,Twnhs,2Story,8,5,1999,False,2000,Gable,CompShg,Gd,TA,PConc,970,GasA,Ex,Y,SBrkr,983,756,1739,Gd,TA,No,1,2,1,3,Gd,7,0,,2,True,480,TA,115,2,0,,,,8,2009,172500
89.0,11645,,Corner,Gtl,CollgCr,1Fam,2Story,7,5,2004,True,2004,Gable,CompShg,Gd,TA,PConc,860,GasA,Ex,Y,SBrkr,860,860,1720,Gd,TA,No,0,2,1,3,Gd,7,0,,2,True,565,TA,0,2,70,,,,8,2006,196500
66.0,13682,,CulDSac,Gtl,StoneBr,1Fam,2Story,10,5,2006,True,2006,Hip,CompShg,Ex,TA,PConc,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,Ex,TA,Gd,0,3,1,3,Gd,10,1,Gd,3,True,641,TA,192,2,0,,,,10,2006,438780
60.0,7200,,Inside,Gtl,CollgCr,1Fam,1Story,5,7,1972,False,1972,Gable,CompShg,TA,TA,CBlock,780,GasA,Ex,Y,SBrkr,780,0,780,TA,TA,Av,0,1,0,2,TA,4,0,,1,True,352,TA,196,2,0,,MnPrv,,1,2008,124900
63.0,13072,,Inside,Gtl,SawyerW,1Fam,1Story,6,5,2004,True,2004,Gable,CompShg,TA,TA,PConc,1158,GasA,Ex,Y,SBrkr,1158,0,1158,Gd,TA,No,1,1,1,3,Gd,5,0,,2,True,576,TA,0,2,50,,,,5,2006,158000
60.0,7200,,Inside,Gtl,IDOTRR,1Fam,2.5Unf,5,7,1920,False,1996,Gable,CompShg,TA,TA,BrkTil,530,GasA,TA,N,SBrkr,581,530,1111,TA,Fa,No,0,1,0,3,Fa,6,0,,1,True,288,TA,0,2,0,,,,3,2007,101000
44.0,6442,,Inside,Gtl,NridgHt,TwnhsE,1Story,8,5,2006,True,2006,Gable,CompShg,Gd,TA,PConc,1370,GasA,Ex,Y,SBrkr,1370,0,1370,Gd,Gd,Mn,0,2,0,2,Gd,6,1,Gd,2,True,484,TA,120,2,49,,,,10,2007,202500
50.0,10300,,Inside,Gtl,OldTown,1Fam,2Story,7,6,1921,False,1950,Gable,CompShg,TA,TA,BrkTil,576,GasA,Gd,Y,SBrkr,902,808,1710,TA,TA,No,0,2,0,3,TA,9,0,,2,True,480,TA,12,2,11,,GdPrv,,4,2010,140000
,9375,,Inside,Gtl,CollgCr,1Fam,2Story,7,5,1997,False,1998,Gable,CompShg,TA,TA,PConc,1057,GasA,Ex,Y,SBrkr,1057,977,2034,Gd,TA,No,1,2,1,3,Gd,8,0,,2,True,645,TA,576,2,36,,GdPrv,,2,2009,219500
76.0,9591,,Inside,Gtl,NridgHt,1Fam,2Story,8,5,2004,True,2005,Gable,CompShg,Gd,TA,PConc,1143,GasA,Ex,Y,SBrkr,1143,1330,2473,Ex,TA,Av,0,2,1,4,Gd,9,1,Gd,3,True,852,TA,192,2,151,,,,10,2007,317000
,19900,,Inside,Gtl,NAmes,1Fam,1Story,7,5,1970,False,1989,Gable,CompShg,TA,TA,CBlock,1947,GasA,TA,Y,SBrkr,2207,0,2207,Gd,TA,Gd,1,2,0,3,TA,7,1,Gd,2,True,576,TA,301,2,0,,,,7,2010,180000
72.0,10665,,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2003,True,2003,Gable,CompShg,Gd,TA,PConc,1453,GasA,Ex,Y,SBrkr,1479,0,1479,Gd,TA,Av,1,2,0,3,Gd,7,0,,2,True,558,TA,144,2,29,,,,6,2007,226000
47.0,4608,,Corner,Gtl,OldTown,1Fam,1Story,4,6,1945,False,1950,Gable,CompShg,TA,Gd,CBlock,747,GasA,TA,Y,SBrkr,747,0,747,TA,TA,No,0,1,0,2,TA,4,0,,1,True,220,TA,0,2,0,,,,6,2010,80000
81.0,15593,,Corner,Gtl,ClearCr,1Fam,1.5Fin,7,4,1953,False,1953,Gable,CompShg,Gd,TA,CBlock,1304,GasW,TA,Y,SBrkr,1304,983,2287,TA,TA,No,0,2,0,3,TA,7,1,TA,2,True,667,TA,0,2,21,,,,7,2006,225000
95.0,13651,,Inside,Gtl,NAmes,1Fam,1Story,7,6,1973,False,1973,Gable,CompShg,TA,Gd,CBlock,2223,GasA,Ex,Y,SBrkr,2223,0,2223,Gd,TA,Gd,1,2,0,3,TA,8,2,Gd,2,True,516,TA,300,2,0,,,,2,2007,244000
69.0,7599,,Corner,Gtl,Mitchel,1Fam,1Story,4,6,1982,False,2006,Gable,CompShg,TA,TA,CBlock,845,GasA,TA,Y,SBrkr,845,0,845,TA,TA,No,1,1,0,2,TA,4,0,,2,True,360,TA,0,2,0,,,,6,2007,129500
74.0,10141,,Corner,Gtl,Gilbert,1Fam,2Story,7,5,1998,False,1998,Gable,CompShg,TA,TA,PConc,832,GasA,Gd,Y,SBrkr,885,833,1718,Gd,TA,No,0,2,1,3,TA,7,1,TA,2,True,427,TA,0,2,94,,,,12,2009,185000
85.0,10200,,Inside,Gtl,NAmes,1Fam,1Story,5,7,1954,False,2003,Gable,CompShg,TA,TA,CBlock,1086,GasA,Gd,Y,SBrkr,1086,0,1086,TA,TA,No,1,1,0,3,TA,6,0,,2,True,490,TA,0,2,0,,GdWo,,5,2010,144900
60.0,5790,,Corner,Gtl,OldTown,1Fam,2Story,3,6,1915,False,1950,Gambrel,CompShg,Gd,Gd,CBlock,840,GasA,Gd,N,SBrkr,840,765,1605,Fa,TA,No,0,2,0,3,TA,8,0,,1,True,379,TA,0,2,0,,,,5,2010,107400
21.0,1596,,Inside,Gtl,MeadowV,Twnhs,SLvl,4,5,1973,False,1973,Gable,CompShg,TA,TA,CBlock,462,GasA,TA,Y,SBrkr,526,462,988,Gd,TA,Gd,1,1,0,2,TA,5,0,,1,True,297,TA,120,2,101,,GdWo,,11,2009,91000
,8475,,Inside,Gtl,NAmes,1Fam,1Story,4,7,1956,False,1956,Gable,CompShg,TA,TA,CBlock,952,GasA,Ex,Y,FuseA,952,0,952,TA,TA,No,0,1,0,2,TA,4,0,,1,True,283,TA,0,2,0,,,,4,2008,135750
50.0,8635,,Inside,Gtl,BrkSide,1Fam,1.5Fin,5,5,1948,False,2001,Gable,CompShg,TA,TA,CBlock,672,GasA,TA,Y,SBrkr,1072,213,1285,TA,TA,No,1,1,0,2,TA,6,0,,1,True,240,TA,0,2,0,,MnPrv,,1,2008,127000
72.0,10778,,Inside,Gtl,Sawyer,Duplex,1Story,4,5,1968,False,1968,Hip,CompShg,TA,TA,CBlock,1768,GasA,TA,N,SBrkr,1768,0,1768,TA,TA,No,0,2,0,4,TA,8,0,,0,False,0,,0,2,0,,,,4,2010,136500
60.0,10440,Grvl,Corner,Gtl,OldTown,1Fam,2Story,5,6,1910,False,1981,Gable,CompShg,TA,TA,PConc,440,GasA,Gd,Y,SBrkr,682,548,1230,TA,TA,No,0,1,1,2,TA,5,0,,2,True,440,TA,74,2,0,,MnPrv,,5,2009,110000
100.0,13000,,Corner,Gtl,NAmes,1Fam,2Story,6,6,1968,False,1968,Gable,CompShg,TA,Gd,CBlock,896,GasA,TA,Y,SBrkr,1182,960,2142,Gd,TA,No,0,2,1,4,Gd,8,1,Gd,1,True,509,TA,0,2,72,,,,6,2009,193500
32.0,4500,,FR2,Gtl,Mitchel,TwnhsE,1Story,6,5,1998,False,1998,Hip,CompShg,TA,Gd,PConc,1237,GasA,Ex,Y,SBrkr,1337,0,1337,Ex,Gd,No,1,2,0,2,TA,5,0,,2,True,405,TA,0,2,199,,,,3,2006,153500
78.0,10206,,Inside,Gtl,Somerst,1Fam,1Story,8,5,2007,True,2007,Gable,CompShg,TA,TA,PConc,1563,GasA,Ex,Y,SBrkr,1563,0,1563,Gd,TA,No,0,2,0,3,Gd,6,1,Gd,3,True,758,TA,144,2,99,,,,10,2008,245000
80.0,8892,,Inside,Gtl,NAmes,1Fam,1Story,5,5,1960,False,1960,Gable,CompShg,TA,TA,CBlock,1065,GasA,Gd,Y,SBrkr,1065,0,1065,TA,TA,No,0,1,1,3,TA,6,0,,2,True,461,TA,74,2,0,,,,7,2007,126500
,8530,,Inside,Gtl,Gilbert,1Fam,SLvl,7,5,1995,False,1996,Gable,CompShg,TA,TA,PConc,384,GasA,Gd,Y,SBrkr,804,670,1474,Gd,TA,No,0,2,1,3,TA,7,1,TA,2,True,400,TA,120,2,72,,,Shed,5,2009,168500
121.0,16059,,Corner,Gtl,NoRidge,1Fam,2Story,8,5,1991,False,1992,Hip,CompShg,Gd,TA,CBlock,1288,GasA,Ex,Y,SBrkr,1301,1116,2417,Gd,TA,No,0,2,1,4,Gd,9,1,TA,2,True,462,TA,127,2,82,,,,4,2006,260000
122.0,11911,,Inside,Gtl,Gilbert,1Fam,2Story,6,5,2005,True,2005,Gable,CompShg,Gd,TA,PConc,684,GasA,Ex,Y,SBrkr,684,876,1560,Gd,TA,Av,0,2,1,3,Gd,6,1,Gd,2,True,400,TA,100,2,38,,,,3,2009,174000
40.0,3951,Pave,Corner,Gtl,Somerst,TwnhsE,2Story,6,5,2009,True,2009,Gable,CompShg,Gd,TA,PConc,612,GasA,Ex,Y,SBrkr,612,612,1224,Gd,TA,Av,0,2,1,2,Gd,4,0,,2,True,528,TA,0,2,234,,,,6,2009,164500
105.0,8470,,Corner,Gtl,IDOTRR,1Fam,1.5Fin,3,2,1915,False,1982,Hip,CompShg,Fa,Fa,CBlock,1013,GasA,TA,N,SBrkr,1013,0,1526,TA,Fa,No,0,1,0,2,Fa,6,0,,0,False,0,,0,2,0,,MnPrv,,10,2009,85000
60.0,8070,,Inside,Gtl,CollgCr,1Fam,1Story,4,5,1994,False,1995,Gable,CompShg,TA,TA,PConc,990,GasA,Ex,Y,SBrkr,990,0,990,Gd,TA,No,1,1,0,3,TA,5,0,,0,False,0,,0,2,0,,,,8,2007,123600
60.0,7200,,Inside,Gtl,NAmes,1Fam,1Story,4,5,1950,False,1950,Gable,CompShg,TA,TA,Slab,0,GasA,TA,Y,FuseA,1040,0,1040,,,,0,1,0,2,TA,4,0,,2,True,420,TA,0,2,29,,,,7,2006,109900
85.0,8500,,Inside,Gtl,NAmes,1Fam,1Story,5,3,1961,False,1961,Hip,CompShg,TA,TA,CBlock,1235,GasA,TA,Y,SBrkr,1235,0,1235,TA,TA,No,0,1,0,2,TA,6,0,,2,True,480,TA,0,2,0,,GdWo,,12,2006,98600
