,price,sqm_living,room,baths,toilets,balcony,park_space,parkm,garage,loggia,terrace,sqm_lot,garten,lift,erstbezug,new_bld,old_bld,kitchen,alarm,len_explanation,building_age
30,595750,130,4.0,1,1,0,0,0,0,1,0,130.45,1,0,0,0,0,0,0,1227,3.0
31,1750000,138,5.0,3,1,0,0,1,1,0,1,138.0,0,1,1,1,0,0,0,1457,0.0
32,2989000,236,5.0,2,2,0,4,4,1,0,1,236.06,0,1,1,1,0,0,0,1572,
33,8800000,337,4.0,3,1,0,0,1,1,1,1,337.0,0,1,0,0,0,1,0,1277,
34,1543000,110,3.0,2,2,0,0,1,168,1,0,110.0,1,1,1,0,0,0,0,1762,1.0
35,2190000,295,6.0,3,4,0,0,3,3,1,0,295.0,0,1,0,1,0,1,1,2666,21.0
36,479000,55,2.0,1,1,0,0,1,1,0,1,55.0,0,1,0,1,0,0,0,3374,50.0
37,879000,114,4.0,2,2,0,0,0,0,0,0,114.0,0,1,1,0,1,0,0,2169,121.0
38,1770000,119,1.0,1,1,0,0,0,0,0,0,118.79,0,0,0,1,0,0,0,656,28.0
39,9500000,297,4.0,3,1,0,0,0,0,0,1,296.58,0,0,0,0,0,0,0,1725,
40,599000,78,3.0,1,1,0,1,1,0,0,1,77.92,0,1,1,1,0,0,0,4784,1.0
41,599500,133,4.0,1,1,1,0,1,1,0,0,133.0,0,0,0,1,0,1,0,1514,1.0
42,650000,105,3.5,1,2,0,0,0,0,0,0,105.0,0,1,0,1,0,0,1,3279,48.0
43,598000,64,3.0,1,1,0,0,0,0,0,1,63.6,1,1,1,1,0,0,0,3279,1.0
44,437000,96,4.0,1,1,1,0,0,0,0,0,96.29,0,1,0,0,0,1,0,1817,4.0
45,1650000,180,5.0,2,4,1,0,0,0,0,1,180.0,0,1,0,0,0,0,0,1833,
46,1374000,70,2.0,1,2,0,0,0,0,0,0,70.0,0,1,1,0,1,1,1,1833,152.0
47,239040,32,1.0,1,1,1,0,1,1,0,0,31.67,0,1,1,0,0,0,0,990,3.0
48,142927,30,,1,1,0,0,0,0,0,0,30.41,0,1,1,0,1,0,0,2701,
49,8600000,303,5.0,3,4,1,0,0,0,1,1,303.28,0,0,0,0,0,0,0,1453,149.0
50,414126,61,2.0,1,1,0,0,0,0,1,1,60.72,1,1,1,1,0,0,0,2379,1.0
51,795000,88,3.0,1,1,1,0,1,168,1,0,87.73,0,1,1,0,0,0,0,1762,1.0
52,240800,42,2.0,1,1,1,0,0,0,0,0,42.0,0,1,0,1,0,0,0,3529,1.0
53,529000,71,3.0,1,1,0,0,1,1,0,1,71.0,0,1,0,1,0,0,0,1399,19.0
54,2600000,260,6.0,3,1,1,0,2,1,0,0,260.0,0,1,1,0,0,1,1,1529,25.0
55,590000,81,3.0,1,1,0,0,0,0,0,1,80.52,0,1,0,0,1,0,0,4201,121.0
56,650000,76,3.0,1,1,1,0,1,1,0,0,76.0,0,0,0,0,1,0,0,4201,107.0
57,850000,126,4.0,1,1,0,0,0,0,0,0,126.0,0,1,1,1,0,1,0,2192,63.0
58,349900,63,3.0,1,1,0,0,0,0,0,1,63.46,0,1,1,1,0,0,0,1288,0.0
59,249999,64,3.0,1,1,0,0,0,0,1,0,63.51,0,1,0,1,0,0,0,1288,58.0
60,895000,120,3.0,1,1,0,0,0,0,0,0,120.0,0,1,1,0,1,0,0,2674,121.0
61,800000,97,2.0,1,1,0,0,0,0,0,0,97.0,0,0,0,0,1,0,0,899,
62,704000,98,4.0,2,2,0,11,1,0,0,1,98.04,1,0,1,0,0,0,0,591,-1.0
63,1698000,140,3.0,2,2,0,0,1,168,0,1,139.92,0,1,1,0,0,0,0,1762,1.0
64,340000,76,3.0,1,1,0,0,0,0,0,0,75.72,0,0,0,0,0,0,0,1073,
65,276500,54,2.0,1,1,1,0,0,0,0,1,54.0,0,1,1,1,0,1,0,943,1.0
66,4900000,187,3.0,2,3,0,1,1,0,0,1,187.0,0,1,1,1,0,0,1,2501,3.0
67,779900,127,4.0,2,3,0,0,0,0,1,1,126.75,0,1,1,1,0,0,0,4254,
68,575000,92,4.0,1,1,1,0,0,0,0,0,92.0,0,0,1,0,1,0,0,1962,
69,1798000,140,3.0,2,2,1,0,1,168,0,1,139.82,0,1,1,0,0,0,0,1762,1.0
70,285000,63,2.0,1,2,0,0,0,0,0,0,63.0,0,0,1,0,1,0,0,2451,101.0
71,279000,58,3.0,1,1,0,0,0,0,0,0,58.0,0,0,0,1,0,1,0,2451,58.0
72,399000,68,2.0,1,1,0,0,0,0,1,0,68.27,0,1,1,0,1,0,0,2451,
73,439000,63,2.0,1,2,0,0,0,0,0,1,62.83,0,0,1,1,0,0,0,2698,0.0
74,1790000,119,2.0,1,1,0,0,0,0,0,0,118.79,0,0,0,1,0,0,0,659,28.0
75,3162000,215,4.0,3,4,0,1,1,0,0,0,215.0,0,1,1,1,0,0,1,2685,149.0
76,1830000,121,3.0,2,1,0,0,0,0,0,0,121.0,0,1,1,0,1,0,0,6113,153.0
77,1165000,126,5.0,2,2,1,0,1,0,1,1,125.79,0,1,1,1,0,0,0,6113,-1.0
78,175000,39,1.0,1,1,0,0,0,0,0,0,39.0,0,1,1,0,0,0,0,2079,
79,990000,122,4.0,2,3,0,0,0,0,0,1,121.83,1,0,1,1,0,1,0,1477,1.0
80,1279000,145,4.0,2,2,0,0,0,0,0,1,145.0,0,1,1,1,0,0,0,7573,1.0
81,462074,80,4.0,1,1,1,0,1,0,0,1,79.77,0,1,1,1,0,0,0,1755,0.0
82,379900,64,2.0,1,1,0,0,0,0,1,1,64.49,1,1,1,1,0,0,0,1755,
83,387000,104,3.0,1,1,1,0,0,0,0,0,104.43,0,1,0,1,0,0,0,1738,53.0
84,1369000,122,4.0,2,2,0,0,0,0,0,1,121.67,0,1,0,1,0,0,0,2813,
85,390400,54,2.0,1,1,0,0,1,0,1,0,54.46,0,1,1,1,0,0,0,3546,-1.0
86,399000,89,3.0,1,1,1,0,1,1,0,0,89.0,1,0,0,1,0,1,0,1849,21.0
87,297840,49,2.0,1,1,1,0,1,1,0,1,48.58,0,1,0,1,0,0,0,4144,0.0
88,271200,50,2.0,1,1,0,0,0,0,1,1,49.55,0,1,1,1,0,0,0,7510,
89,498000,110,4.5,1,2,0,0,0,0,0,0,109.72,0,0,0,0,1,0,0,1754,
90,238900,81,3.0,1,1,1,0,0,0,1,0,80.79,0,1,1,0,0,0,0,507,
91,365000,65,2.0,1,1,0,0,0,0,0,0,64.86,0,0,1,0,1,0,0,3026,
92,244900,65,3.0,1,1,1,0,0,0,0,1,65.43,0,1,1,0,0,0,0,401,
93,300000,74,3.0,1,1,0,0,0,0,1,0,74.0,0,1,0,0,0,0,0,1411,43.0
94,1050000,105,3.0,1,1,1,0,0,0,0,1,105.0,0,0,0,0,0,0,0,1355,58.0
95,359000,68,3.0,1,1,0,0,0,0,0,0,67.93,0,1,0,0,1,0,0,1355,
96,589000,114,4.5,1,1,1,0,0,0,0,0,113.86,0,0,0,0,1,0,0,1230,
97,619000,114,4.0,1,1,0,0,0,0,0,0,114.0,0,0,1,0,1,1,0,1736,121.0
98,577000,98,3.0,2,2,1,0,0,0,0,0,98.4,1,0,0,0,1,1,0,2232,110.0
99,451827,98,3.0,1,1,1,1,1,0,1,0,97.73,0,1,1,1,0,0,0,1090,0.0
100,179000,34,1.0,1,1,0,0,0,0,0,0,34.24,0,1,1,0,1,0,0,2377,
101,296836,43,2.0,1,1,0,0,0,0,1,0,43.41,0,1,1,1,0,0,0,2379,1.0
102,899000,154,5.0,2,2,0,0,1,1,0,1,154.28,0,0,0,1,0,0,0,1938,12.0
103,1830000,120,3.0,2,1,0,0,0,0,0,0,120.0,0,1,1,0,1,0,1,1938,153.0
104,279000,60,3.0,1,1,0,0,0,0,1,1,59.62,0,0,0,0,0,0,0,3564,
105,399900,78,2.0,1,1,0,0,0,0,0,1,77.85,0,1,1,1,0,0,0,3064,
106,418000,76,2.0,1,1,0,0,0,0,0,1,75.99,0,0,1,0,1,1,0,3031,
107,399000,85,3.0,1,1,0,0,1,1,0,1,84.72,0,1,0,0,0,0,0,1484,3.0
108,309000,58,2.0,1,1,0,0,0,0,0,0,58.18,0,1,0,0,0,0,0,1420,
109,579900,97,3.0,1,2,0,0,0,0,1,1,97.23,1,1,1,1,0,0,0,5124,
110,1490000,93,4.0,2,2,1,0,0,0,0,0,93.0,0,0,1,0,1,1,0,4208,249.0
111,621000,116,3.0,2,2,0,11,1,0,0,1,116.0,1,0,1,0,0,0,0,4208,-1.0
112,4200000,265,7.5,3,3,1,0,0,0,0,0,265.0,0,1,0,0,1,0,0,3381,118.0
113,499000,119,4.0,1,1,0,0,0,0,0,0,119.3,0,1,0,1,0,1,0,3221,65.0
114,779000,86,3.0,1,1,1,0,1,0,0,1,86.06,0,1,1,1,0,0,0,3752,1.0
115,357500,68,3.0,1,1,0,0,1,0,0,1,67.9,0,1,1,1,0,0,0,1979,0.0
116,345000,78,3.5,1,1,0,0,0,0,0,0,77.7,0,1,0,1,0,1,0,2928,53.0
117,765000,83,3.0,1,1,0,0,1,1,0,1,83.38,0,1,1,1,0,0,0,2474,0.0
118,749000,106,3.0,1,1,1,0,0,0,0,1,106.0,0,1,0,1,0,0,0,1286,6.0
119,367080,64,3.0,1,1,0,0,1,0,0,1,64.4,1,1,1,1,0,0,0,4155,2.0
120,1495000,112,3.0,2,3,0,0,0,0,0,0,112.0,0,1,1,0,1,1,0,4770,
121,1299000,138,4.0,2,2,0,0,0,0,0,1,138.4,0,0,0,1,0,0,0,4242,
122,1995000,162,5.0,2,3,0,2,2,0,0,1,162.0,1,1,0,1,0,0,0,4210,12.0
123,675000,78,3.0,1,1,0,0,1,1,1,1,78.48,0,0,1,1,0,0,0,4980,2.0
124,444900,110,4.0,1,2,1,0,0,0,0,1,110.11,0,1,1,0,0,0,0,558,
125,4600000,326,7.0,3,4,1,1,1,1,0,1,326.0,0,1,0,0,0,0,0,3455,
126,979000,109,4.0,2,2,0,0,1,168,1,1,108.76,1,1,1,0,0,0,0,1762,1.0
127,259000,63,2.0,1,1,0,0,0,0,0,0,63.0,0,0,0,1,0,1,0,2906,66.0
128,431000,67,2.0,1,1,0,0,0,0,0,1,66.54,0,1,1,0,1,0,0,2906,
129,359000,54,2.0,1,1,0,0,1,0,1,1,54.46,0,1,1,1,0,0,0,5813,-1.0
130,195000,39,2.0,1,1,0,0,0,0,0,0,39.11,0,0,0,0,0,0,0,2425,121.0
131,460633,101,3.0,1,1,1,1,1,0,1,0,101.19,0,1,1,1,0,0,0,1102,0.0
132,1099000,132,4.0,1,1,0,0,0,0,0,1,132.26,0,1,1,1,0,0,0,2480,
133,769300,70,2.0,1,1,0,0,0,0,1,0,69.52,0,1,1,0,0,0,0,2127,4.0
134,2895000,157,4.0,2,3,0,0,0,0,0,1,157.09,0,1,0,1,0,0,0,2415,
135,2198300,149,5.0,3,2,0,0,0,0,0,1,148.53,0,1,1,0,0,0,0,1530,
136,390000,92,3.0,1,1,0,0,1,1,1,0,92.0,0,1,0,0,1,0,0,2705,52.0
137,540000,59,2.0,1,1,1,0,0,0,0,1,59.23,0,0,1,0,0,0,0,963,
138,769900,129,4.0,2,2,1,0,0,0,0,1,128.74,0,1,1,1,0,0,0,3156,
139,319000,48,2.0,1,1,1,0,0,0,0,0,47.65,0,1,0,0,1,0,0,1194,
140,5700000,214,3.0,2,3,0,0,1,1,0,1,213.76,0,1,1,0,1,0,1,958,
141,667100,69,3.0,1,1,1,0,0,0,1,1,69.19,0,1,1,1,0,0,0,4815,
142,2200000,180,5.0,3,2,0,0,0,0,0,1,180.0,0,1,1,0,0,0,0,1144,226.0
143,760000,94,4.0,2,2,0,0,1,1,0,1,93.69,1,1,1,1,0,0,1,2531,0.0
144,328400,63,3.0,1,1,0,0,1,0,0,1,63.47,0,1,1,1,0,0,0,2531,0.0
145,650000,118,3.5,2,1,1,0,0,0,0,0,117.92,0,0,0,0,1,0,0,1427,111.0
146,295000,64,3.0,1,1,0,0,0,0,0,0,64.0,0,1,0,1,0,1,0,1863,50.0
147,750000,77,3.0,1,2,1,0,1,0,1,1,77.09,0,0,1,1,0,0,0,3976,
148,415000,75,3.0,1,1,1,0,1,1,0,0,75.0,1,0,0,1,0,0,0,2773,65.0
149,329900,80,3.0,1,1,1,0,0,0,0,1,80.06,0,1,1,0,0,0,0,536,
150,1344193,186,5.0,2,4,1,1,1,0,0,1,186.0,1,1,0,1,0,0,0,4208,22.0
151,769900,132,4.0,2,3,0,0,0,0,1,1,132.04,0,1,1,1,0,0,0,4511,
152,785000,62,1.0,1,1,1,0,0,0,0,0,61.61,0,1,0,1,0,0,0,2415,
153,1750000,156,3.0,1,1,0,1,1,0,0,1,156.23,0,1,0,0,1,1,1,3031,21.0
154,799000,110,3.0,1,1,0,0,0,0,0,1,110.0,0,1,1,1,0,0,0,2440,1.0
155,471000,83,3.0,1,1,1,0,0,0,0,1,83.23,0,1,1,0,1,0,0,2440,1.0
156,315900,56,2.0,1,1,0,0,0,0,0,1,56.46,0,0,0,0,0,0,0,4132,
157,423149,62,2.0,1,1,0,0,0,0,1,0,62.45,0,1,1,1,0,0,0,4132,1.0
158,1449000,134,4.0,2,2,0,0,1,168,1,1,133.74,1,1,1,0,0,0,0,4132,1.0
159,465000,128,4.0,1,1,1,0,1,1,0,1,127.51,1,1,1,1,0,0,0,4132,2.0
160,600000,102,3.0,1,1,0,1,1,1,0,1,102.18,1,1,0,1,0,1,0,2778,28.0
161,1420000,112,3.0,1,1,0,0,1,168,1,0,111.73,1,1,1,0,0,0,0,1762,1.0
162,314900,55,2.0,1,1,1,0,0,0,1,1,55.23,0,1,1,1,0,0,0,7510,
163,289000,76,3.0,1,1,0,0,0,0,0,0,75.8,0,1,0,1,0,1,0,1781,23.0
164,199000,43,2.0,1,1,0,0,0,0,0,0,43.0,0,0,0,0,1,1,0,1330,
165,713100,98,4.0,2,2,1,0,1,0,1,0,98.41,0,1,1,1,0,0,0,3546,-1.0
166,640000,106,3.5,1,1,0,0,0,0,0,0,105.87,0,0,0,0,1,0,0,2668,114.0
167,743200,103,3.0,1,1,0,0,0,0,0,1,103.16,0,1,1,1,0,0,0,1934,1.0
168,399000,82,2.0,1,1,0,0,0,0,0,0,82.0,0,0,0,0,0,0,0,3989,125.0
169,860000,134,4.0,2,2,0,0,0,0,0,1,134.19,0,1,1,1,0,0,0,3109,2.0
170,494500,90,4.0,1,1,0,0,0,0,0,0,90.0,0,1,1,1,0,0,0,3109,56.0
171,1600000,130,3.0,1,2,0,0,0,0,1,0,130.0,0,1,1,1,0,0,0,2079,2.0
172,522503,79,3.0,1,1,0,0,1,0,0,1,79.08,0,1,1,1,0,0,0,1755,0.0
173,313000,60,2.0,1,1,1,0,1,0,1,1,60.4,1,1,1,1,0,0,0,2041,-1.0
174,545490,3,,1,1,0,0,0,0,0,1,,0,1,1,0,1,1,0,3045,
175,5950000,214,3.5,2,3,0,0,1,1,0,1,214.03,0,1,1,0,1,0,1,968,
176,749000,136,4.0,1,1,1,0,0,0,0,0,136.0,0,1,0,0,1,0,0,1498,
177,1189000,125,3.0,1,2,0,1,1,0,0,1,125.12,0,1,1,1,0,0,0,2572,0.0
178,2490000,158,4.0,3,2,0,0,0,0,0,0,158.27,0,1,1,0,1,0,0,3456,211.0
179,374900,101,3.0,1,2,1,0,0,0,1,1,100.54,0,1,1,0,0,0,0,558,
180,456500,77,4.0,1,1,0,0,0,0,0,1,76.85,1,0,0,0,0,0,0,4058,
181,498000,103,4.0,1,2,0,0,0,0,0,1,103.47,0,1,1,1,0,1,0,2762,2.0
182,701700,98,4.0,2,2,1,0,1,0,1,0,98.41,0,1,1,1,0,0,0,3546,-1.0
183,284900,60,3.0,2,1,0,0,0,0,0,0,60.03,0,0,1,1,0,0,0,3546,66.0
184,1889600,102,3.0,2,2,0,0,0,0,0,1,102.25,0,1,1,0,0,0,0,2210,4.0
185,2085000,180,4.0,2,3,1,0,1,0,1,1,180.0,0,0,1,1,0,0,0,3976,
186,525455,86,3.0,1,1,1,0,1,1,1,1,86.1,0,1,1,1,0,0,0,4638,1.0
187,2393000,134,4.0,2,2,0,0,0,0,0,1,134.45,0,1,0,1,0,0,0,2416,
188,789900,45,2.0,1,1,1,0,0,0,0,0,45.13,0,1,0,1,0,0,0,2416,
189,585342,56,2.0,1,1,1,0,1,0,1,1,56.45,1,1,1,1,0,0,0,3206,4.0
190,297000,48,2.0,1,1,0,0,0,0,0,0,48.0,0,1,1,0,1,0,0,617,
191,399900,64,2.0,1,2,0,0,0,0,1,1,64.09,0,1,1,1,0,0,0,617,
192,299900,75,3.0,1,1,1,0,0,0,0,1,74.64,0,1,1,0,0,0,0,558,
193,940000,98,3.0,1,1,0,0,1,1,0,1,98.0,1,0,1,1,0,0,0,2524,1.0
194,189000,31,1.0,1,1,0,0,0,0,1,0,30.62,0,1,1,0,1,0,0,2377,
195,995000,108,3.0,2,2,1,0,1,0,0,1,108.0,0,1,1,1,0,0,0,1480,2.0
196,2650000,175,4.0,2,2,0,0,1,168,0,1,175.22,0,1,1,0,0,0,0,1762,1.0
197,1032900,64,3.0,1,1,0,0,0,0,0,0,64.4,0,1,0,1,0,0,0,2416,
198,410000,71,2.5,1,1,0,0,1,1,0,1,71.0,0,1,1,1,0,0,0,1562,27.0
199,743636,92,2.0,1,1,0,0,1,1,0,1,92.2,0,1,1,1,0,0,0,4794,1.0
200,1660000,159,4.0,2,2,0,0,1,1,0,1,159.0,0,1,1,1,0,0,0,5865,3.0
201,449000,64,2.0,1,1,0,0,0,0,0,1,64.0,0,1,0,0,0,0,0,1004,
202,298000,73,3.0,1,1,0,0,0,0,0,0,72.88,0,0,0,0,0,0,0,737,60.0
203,1290000,86,,1,1,1,0,1,0,0,0,86.0,0,1,1,0,0,1,0,630,
204,715000,106,3.0,1,2,0,0,0,0,0,1,106.4,0,0,1,1,0,0,0,2698,0.0
205,384900,96,4.0,1,2,1,0,0,0,0,1,96.2,0,1,1,0,0,0,0,557,
206,405000,60,3.0,1,1,1,0,1,1,0,1,60.42,0,1,1,0,0,0,0,915,3.0
207,419900,60,2.0,1,1,0,0,0,0,1,1,59.77,1,1,1,1,0,0,0,4727,
208,685000,95,3.0,2,2,0,0,0,0,0,1,95.04,0,0,0,1,0,0,0,2339,1.0
209,699000,78,3.0,1,1,1,0,1,0,0,0,78.36,0,1,0,0,0,0,0,1128,2.0
210,2195000,165,3.0,2,2,0,0,1,168,0,1,165.07,0,1,1,0,0,0,0,1762,1.0
211,559430,95,3.0,1,1,1,0,0,0,0,1,95.0,0,0,1,1,0,0,0,1308,1.0
212,1600000,146,3.0,1,2,0,0,0,0,1,1,146.0,0,1,1,0,1,0,0,1308,2.0
213,400000,92,4.0,1,1,0,0,2,2,0,1,91.58,0,1,0,1,0,0,0,5108,11.0
214,1455000,140,4.0,2,2,0,1,1,0,0,1,140.0,1,1,0,1,0,0,1,4200,12.0
215,456960,77,3.0,1,1,1,0,1,1,0,1,77.3,0,1,0,1,0,0,0,4115,0.0
216,630663,66,3.0,1,1,0,0,0,0,0,1,65.55,0,1,1,1,0,0,0,2379,1.0
217,439000,77,3.0,1,1,0,1,1,0,0,0,77.0,0,0,1,1,0,0,0,2379,61.0
218,4340000,208,4.0,3,3,0,0,0,0,0,1,207.8,0,1,0,1,0,0,0,1694,
219,597100,94,4.0,2,2,1,0,0,0,1,1,93.55,0,1,1,1,0,0,0,1694,
220,485000,65,2.0,1,1,0,0,0,0,0,1,65.05,0,1,1,1,0,0,0,1274,1.0
221,1390000,142,4.0,2,2,1,0,1,1,0,1,142.0,0,0,0,1,0,1,0,3397,11.0
222,929900,64,3.0,1,1,0,0,0,0,0,0,64.4,0,1,0,1,0,0,0,2416,
223,399900,61,2.0,1,1,0,0,0,0,1,1,60.84,0,1,1,1,0,0,0,4652,
224,270000,51,2.0,1,1,0,0,0,0,0,1,51.19,0,1,0,0,0,1,0,2960,
225,3290000,198,5.0,3,3,0,0,1,0,0,1,198.24,1,1,0,0,0,0,0,1555,1.0
226,444900,118,4.0,1,2,1,0,0,0,1,1,117.89,0,1,1,0,0,0,0,524,
227,365000,65,2.0,1,1,0,0,0,0,0,0,64.85,0,0,1,0,1,1,0,2021,117.0
228,624370,125,4.0,1,2,1,0,1,0,0,1,125.2,0,1,0,0,0,0,0,2021,-1.0
229,399900,66,2.0,1,1,0,0,0,0,1,1,66.05,1,1,1,1,0,0,0,4690,
230,1600000,148,4.0,1,2,0,0,0,0,1,1,148.0,0,1,1,1,0,0,0,8440,1.0
231,928200,127,3.0,2,1,0,1,1,1,0,1,126.5,0,1,1,1,0,0,0,4594,1.0
232,540439,77,3.0,1,2,0,0,0,0,0,1,77.05,1,1,1,1,0,0,0,2379,1.0
233,1780000,87,3.0,2,2,1,1,1,0,0,1,86.57,0,1,1,1,0,1,0,2375,1.0
234,2390000,177,3.0,2,3,0,0,1,1,0,1,177.0,0,1,1,0,1,0,1,4217,1.0
235,785000,149,5.0,2,1,0,0,1,0,0,1,149.0,0,1,1,1,0,0,0,2574,1.0
236,365000,86,3.0,1,1,0,0,0,0,1,1,86.21,0,0,0,0,0,0,0,288,
237,390000,68,3.0,1,1,0,0,0,0,0,1,68.47,0,0,0,0,0,0,0,288,5.0
238,257040,43,2.0,1,1,1,0,1,1,0,1,43.0,0,1,0,1,0,0,0,4115,0.0
239,417600,71,3.0,1,1,1,0,0,0,1,1,71.4,0,1,1,1,0,0,0,7510,
240,1200000,131,3.0,1,2,1,0,0,0,0,1,131.0,0,1,0,1,0,1,0,2604,71.0
241,394900,90,4.0,1,1,1,0,6,0,0,0,90.0,0,1,1,0,0,0,0,3198,
242,400000,73,3.0,1,1,0,0,0,0,0,0,73.4,0,0,0,0,0,0,0,982,61.0
243,216900,73,2.0,1,1,1,0,0,0,1,0,73.23,0,1,1,0,0,0,0,545,
244,498000,70,2.0,1,1,0,0,0,0,0,0,70.0,0,1,1,0,1,1,0,3467,121.0
245,1182000,194,4.0,2,1,0,0,1,1,0,1,194.0,1,0,1,1,0,0,0,3467,0.0
246,585551,86,3.0,1,2,1,0,0,0,1,0,85.61,0,1,1,1,0,0,0,2379,1.0
247,998800,110,4.0,2,2,0,0,0,0,0,1,109.79,0,1,1,0,0,0,0,2550,1.0
248,565000,110,4.0,2,2,0,0,0,0,1,1,109.69,0,1,1,1,0,0,0,3760,1.0
249,298000,62,3.0,1,1,0,0,0,0,0,0,62.0,0,1,1,0,1,0,0,1908,155.0
250,798000,97,3.0,2,3,1,1,1,0,0,1,96.64,1,1,1,1,0,0,0,2155,1.0
251,235000,67,3.0,1,1,1,0,0,0,0,0,66.51,0,0,0,1,0,0,0,2784,56.0
252,548500,102,4.0,1,1,0,0,0,0,1,0,101.73,0,1,0,1,0,0,0,2259,47.0
253,1590000,79,3.0,1,2,0,1,1,0,1,1,78.88,0,1,1,1,0,1,0,2291,1.0
254,255000,46,1.0,1,1,1,0,0,0,0,1,45.75,0,1,0,0,0,0,0,1499,
255,787500,106,3.0,1,2,0,2,2,0,0,1,106.37,0,1,1,1,0,0,0,3870,0.0
256,529000,101,4.0,2,2,1,1,1,0,0,1,101.06,0,1,1,1,0,0,0,1830,
257,479000,74,3.0,1,1,1,0,0,0,1,1,73.73,0,0,0,0,0,0,0,968,
258,415000,57,2.0,1,1,1,0,1,0,0,0,56.92,0,1,1,1,0,0,0,1531,0.0
259,342240,58,2.0,1,1,1,0,1,1,0,0,57.75,1,1,0,1,0,0,0,2441,4.0
260,459900,45,2.0,1,1,1,0,1,0,1,1,45.45,0,1,1,1,0,0,0,2942,3.0
261,744000,129,5.0,1,2,1,11,1,0,0,1,129.25,1,0,1,0,0,0,0,2942,-1.0
262,772000,91,3.0,2,2,0,0,0,0,0,0,90.86,0,1,0,0,1,0,0,2631,112.0
263,3500000,300,6.0,2,3,1,2,2,1,0,0,300.0,0,1,0,1,1,0,0,3654,82.0
264,990000,112,4.0,1,1,1,0,0,0,0,1,112.33,0,0,1,1,0,0,0,1477,1.0
265,366700,67,3.0,1,1,0,0,1,0,0,1,67.28,0,1,1,1,0,0,0,1979,0.0
266,219800,65,3.0,1,1,1,0,0,0,0,1,65.43,0,1,1,0,0,0,0,460,
267,172000,29,1.0,1,1,0,0,0,0,0,0,29.0,0,0,0,1,0,0,0,1625,61.0
268,299000,41,2.0,1,1,0,0,0,0,0,0,41.49,0,1,0,0,1,0,0,1981,128.0
269,406225,76,4.0,1,2,0,0,0,0,1,1,75.5,0,1,1,0,1,0,0,3360,121.0
